ticker,asof,close,score,grade,technical_score,technical_grade,timing_score,timing_grade,risk_score,risk_level,confluence_score,chase_risk,relative_strength_score,relative_strength_grade,leader_score,relative_strength_weight,action,market_regime,stop_price,trailing_stop,bullish_signals,bearish_signals,top_strengths,top_risks,name,market,market_cap,trading_value,volume_universe,source_rank,data_ticker
018260,2026-08-21,228000.0,74.88,A,85.0,A+,62.5,B,13.0,낮음,66.0,낮음,68.5,B,73.28,0.25,좋은 종목 · 관심 진입,range,209760.0,318560.0,4,0,일봉 이동평균선 정배열 | 주봉 정배열로 장기 추세 확인 | 고점 상승(Higher High),,삼성에스디에스,KOSPI,164041.0,108629.0,513945.0,55,018260
005830,2026-08-21,177800.0,64.25,B,66.5,B,61.5,C,24.0,낮음,61.0,낮음,100.0,A+,73.19,0.25,관심 종목 · 타이밍 확인 대기,range,163576.0,165000.0,4,0,주봉 정배열로 장기 추세 확인 | 고점 상승(Higher High) | 쌍바닥/W 구조,일봉과 주봉 배열 불일치 | 저점 하락(Lower Low) | 일봉/주봉 불일치,DB손해보험,KOSPI,94910.0,62272.0,429733.0,72,005830
017670,2026-08-21,102200.0,63.53,B,75.0,A,49.5,D,30.0,낮음,68.5,높음,95.83,A+,71.61,0.25,좋은 종목 · 눌림목 대기,range,94024.0,110176.0,4,0,고점 상승(Higher High) | 저점 상승(Higher Low) | 최근 저항선 돌파,20일선 과도 이격으로 추격 위험 | 20일선 과도 이격,SK텔레콤,KOSPI,203836.0,246992.0,2613420.0,41,017670
035420,2026-08-21,222000.0,71.3,B,69.5,B,73.5,A,18.0,낮음,67.5,낮음,71.68,B,71.39,0.25,구조 개선 중 · 소액 정찰 가능,range,204240.0,246840.0,4,1,저점 상승(Higher Low) | 최근 저항선 돌파 | 돌파 저항이 지지로 전환,고점 하락(Lower High) | 쌍봉/더블탑 경계,NAVER,KOSPI,360057.0,488122.0,2095857.0,24,035420
003490,2026-08-21,25800.0,70.43,B,63.0,B,79.5,A,18.0,낮음,72.5,낮음,72.68,A,70.99,0.25,구조 개선 중 · 소액 정찰 가능,range,23736.0,26400.0,5,0,고점 상승(Higher High) | 저점 상승(Higher Low) | 최근 저항선 돌파,쌍봉/더블탑 경계,대한항공,KOSPI,102918.0,108396.0,3847691.0,67,003490
180640,2026-08-21,117900.0,63.75,B,61.5,C,66.5,B,18.0,낮음,56.0,낮음,91.42,A+,70.67,0.25,관찰,range,108468.0,119768.0,2,0,저점 상승(Higher Low) | 주요 지지선 2.5% 이내 | 20일선과 이격이 안정적,고점 하락(Lower High),한진칼,KOSPI,80849.0,14490.0,119883.0,81,180640
096770,2026-08-21,124800.0,63.83,B,78.0,A,46.5,D,24.0,낮음,57.5,낮음,90.97,A+,70.62,0.25,좋은 종목 · 저항 돌파 확인 대기,range,114816.0,116336.0,2,2,주봉 정배열로 장기 추세 확인 | 고점 상승(Higher High) | 저점 상승(Higher Low),일봉과 주봉 배열 불일치 | 바로 위 강한 저항 접근 | 3연속 음봉,SK이노베이션,KOSPI,173110.0,58671.0,574557.0,49,096770
003230,2026-08-21,1366000.0,56.5,C,65.5,B,45.5,D,26.0,낮음,55.5,보통,100.0,A+,67.38,0.25,관심 종목 · 타이밍 확인 대기,range,1256720.0,1229360.0,2,0,고점 상승(Higher High) | 쌍바닥/W 구조 | 컵앤핸들 유사 구조,쌍봉/더블탑 경계 | 20일선 이격 확대 | 60일 고점권 단기 급등으로 추격매수 위험,삼양식품,KOSPI,83089.0,72445.0,67602.0,78,003230
005935,2026-08-21,207000.0,61.25,C,72.5,A,47.5,D,36.0,낮음,63.5,높음,85.3,A+,67.26,0.25,관심 종목 · 타이밍 확인 대기,range,190006.5,206800.0,4,1,주봉 정배열로 장기 추세 확인 | 저점 상승(Higher Low) | 최근 저항선 돌파,일봉과 주봉 배열 불일치 | 고점 하락(Lower High) | 쌍봉/더블탑 경계,삼성전자우,KOSPI,1781264.0,1396678.0,6141800.0,4,005935
105560,2026-08-21,164300.0,65.5,B,65.5,B,65.5,B,24.0,낮음,66.5,낮음,72.11,A,67.15,0.25,관심 종목 · 타이밍 확인 대기,range,151156.0,163856.0,3,0,주봉 정배열로 장기 추세 확인 | 저점 상승(Higher Low) | 최근 저항선 돌파,일봉과 주봉 배열 불일치 | 고점 하락(Lower High) | 쌍봉/더블탑 경계,KB금융,KOSPI,561471.0,344942.0,2176538.0,15,105560
000100,2026-08-21,82300.0,54.88,C,56.0,C,53.5,C,34.0,낮음,56.0,낮음,94.12,A+,64.69,0.25,관찰,range,65840.0,75328.0,3,0,고점 상승(Higher High) | 저점 상승(Higher Low),주봉 역배열 | 일봉과 주봉 배열 불일치 | 일봉/주봉 불일치,유한양행,KOSPI,60612.0,29870.0,393826.0,97,000100
278470,2026-08-21,385000.0,56.55,C,52.5,C,61.5,C,18.0,낮음,57.5,낮음,85.32,A+,63.74,0.25,관찰,range,354200.0,375320.0,3,0,고점 상승(Higher High) | 주요 지지선 2.5% 이내,저점 하락(Lower Low),에이피알,KOSPI,144324.0,90407.0,235208.0,56,278470
316140,2026-08-21,31750.0,53.67,C,62.0,B,43.5,D,24.0,낮음,54.0,낮음,84.09,A+,61.27,0.25,관심 종목 · 타이밍 확인 대기,range,29210.0,30624.0,3,0,주봉 정배열로 장기 추세 확인 | 고점 상승(Higher High) | 저점 상승(Higher Low),일봉과 주봉 배열 불일치 | 바로 위 강한 저항 접근 | 5-20 데드크로스 발생,우리금융지주,KOSPI,227931.0,88540.0,2860783.0,39,316140
030200,2026-08-21,52400.0,54.68,C,45.0,D,66.5,B,44.0,보통,51.0,낮음,75.07,A,59.78,0.25,관찰,range,48208.0,52800.0,2,1,고점 상승(Higher High) | 저점 상승(Higher Low) | 쌍바닥/W 구조,일봉 이동평균선 역배열 | 일봉과 주봉 배열 불일치 | 쌍봉/더블탑 경계,KT,KOSPI,134328.0,17467.0,326459.0,59,030200
005930,2026-08-21,281500.0,57.28,C,71.0,B,40.5,D,30.0,낮음,55.5,보통,66.42,B,59.56,0.25,관심 종목 · 타이밍 확인 대기,range,225200.0,319000.0,2,1,고점 상승(Higher High) | 저점 상승(Higher Low),20일선 과도 이격으로 추격 위험 | 20일선 과도 이격,삼성전자,KOSPI,20695826.0,15404259.0,42713286.0,1,005930
138040,2026-08-21,115400.0,51.35,D,54.5,C,47.5,D,18.0,낮음,48.5,낮음,82.78,A+,59.21,0.25,관찰,range,106168.0,111144.0,2,2,저점 상승(Higher Low) | 주요 지지선 근접,고점 하락(Lower High) | 쌍봉/더블탑 경계 | 바로 위 강한 저항 접근,메리츠금융지주,KOSPI,180902.0,50611.0,469304.0,47,138040
326030,2026-08-21,83700.0,53.15,C,45.5,D,62.5,B,18.0,낮음,56.0,낮음,75.33,A,58.69,0.25,관찰,range,77004.0,83336.0,3,0,고점 상승(Higher High) | 주요 지지선 근접 | 20일선과 이격이 안정적,저점 하락(Lower Low),SK바이오팜,KOSPI,68133.0,61532.0,707849.0,85,326030
006400,2026-08-21,478000.0,59.7,C,52.5,C,68.5,B,18.0,낮음,60.0,낮음,51.2,D,57.58,0.25,관찰,range,439760.0,605440.0,3,0,고점 상승(Higher High) | 돌파 저항이 지지로 전환 | 주요 지지선 2.5% 이내,저점 하락(Lower Low),삼성SDI,KOSPI,447250.0,527035.0,949969.0,19,006400
010130,2026-08-21,1237000.0,46.4,D,45.5,D,47.5,D,18.0,낮음,50.5,낮음,89.93,A+,57.28,0.25,관찰,range,1138040.0,1228480.0,1,1,고점 상승(Higher High),저점 하락(Lower Low) | 20일선 이격 확대,고려아연,KOSPI,248806.0,52559.0,43994.0,35,010130
161390,2026-08-21,66000.0,56.83,C,71.0,B,39.5,F,24.0,낮음,58.5,낮음,56.7,C,56.8,0.25,관심 종목 · 타이밍 확인 대기,range,60720.0,67496.0,4,1,주봉 정배열로 장기 추세 확인 | 고점 상승(Higher High) | 저점 상승(Higher Low),일봉과 주봉 배열 불일치 | 바로 위 강한 저항 접근 | 5-20 데드크로스 발생,한국타이어앤테크놀로지,KOSPI,82625.0,31315.0,474897.0,79,161390
028260,2026-08-21,395500.0,44.88,D,46.0,D,43.5,D,44.0,보통,52.0,보통,92.09,A+,56.68,0.25,관찰,range,363860.0,470800.0,2,2,주요 지지선 근접 | 3연속 양봉,고점 하락(Lower High) | 저점 하락(Lower Low) | 20일선 과도 이격으로 추격 위험,삼성물산,KOSPI,797054.0,702284.0,1374021.0,9,028260
066570,2026-08-21,194500.0,57.5,C,57.5,C,57.5,C,18.0,낮음,55.5,낮음,52.83,C,56.33,0.25,관찰,range,172522.75,345400.0,2,0,고점 상승(Higher High) | 저점권 긴 아래꼬리,저점 하락(Lower Low),LG전자,KOSPI,344501.0,616347.0,2863883.0,26,066570
003550,2026-08-21,107700.0,54.95,C,54.5,C,55.5,C,18.0,낮음,52.5,낮음,59.3,C,56.04,0.25,관찰,range,99084.0,145904.0,1,1,고점 상승(Higher High) | 주요 지지선 근접 | 20일선과 이격이 안정적,저점 하락(Lower Low) | 바로 위 강한 저항 접근,LG,KOSPI,164648.0,81617.0,761183.0,54,003550
009150,2026-08-21,1316000.0,67.03,B,74.0,A,58.5,C,18.0,낮음,59.5,낮음,18.01,F,54.77,0.25,관심 종목 · 타이밍 확인 대기,range,1052800.0,1997600.0,3,0,고점 상승(Higher High) | 저점 상승(Higher Low) | 역헤드앤숄더 유사 구조,,삼성전기,KOSPI,1695547.0,3886730.0,1696640.0,5,009150
032830,2026-08-21,328500.0,52.05,C,52.5,C,51.5,D,30.0,낮음,62.5,높음,57.9,C,53.51,0.25,관찰,range,302220.0,437360.0,4,2,고점 상승(Higher High) | 최근 저항선 돌파 | 주요 지지선 근접,저점 하락(Lower Low) | 쌍봉/더블탑 경계 | 20일선 과도 이격으로 추격 위험,삼성생명,KOSPI,994000.0,332571.0,668679.0,7,032830
064400,2026-08-21,71600.0,54.53,C,48.0,D,62.5,B,18.0,낮음,54.5,낮음,49.83,D,53.36,0.25,관찰,range,65872.0,126456.0,2,0,고점 상승(Higher High) | 주요 지지선 근접 | 20일선과 이격이 안정적,저점 하락(Lower Low),LG씨엔에스,KOSPI,83128.0,125517.0,1463104.0,77,064400
086280,2026-08-21,196700.0,52.58,C,51.0,D,54.5,C,18.0,낮음,52.5,낮음,54.16,C,52.98,0.25,관찰,range,180964.0,213400.0,3,1,고점 상승(Higher High) | 저점 상승(Higher Low) | 저점권 긴 아래꼬리,쌍봉/더블탑 경계,현대글로비스,KOSPI,166875.0,125727.0,580523.0,53,086280
298040,2026-08-21,2721000.0,60.3,C,49.5,D,73.5,A,18.0,낮음,58.0,낮음,30.95,F,52.96,0.25,단기 반전 후보 · 추세 확인 필요,range,2503320.0,3424960.0,3,1,고점 상승(Higher High) | 돌파 저항이 지지로 전환 | 주요 지지선 2.5% 이내,저점 하락(Lower Low) | 쌍봉/더블탑 경계,효성중공업,KOSPI,359461.0,348786.0,89809.0,25,298040
032640,2026-08-21,14870.0,43.4,D,33.5,F,55.5,C,44.0,보통,43.5,낮음,81.46,A+,52.91,0.25,매수 회피 · 구조 회복 확인,range,13680.4,14449.6,0,2,저점 상승(Higher Low) | 쌍바닥/W 구조 | 주요 지지선 근접,일봉 이동평균선 역배열 | 일봉과 주봉 배열 불일치 | 고점 하락(Lower High),LG유플러스,KOSPI,62433.0,24374.0,1657870.0,94,032640
009830,2026-08-21,32050.0,46.4,D,45.5,D,47.5,D,18.0,낮음,49.5,낮음,72.36,A,52.89,0.25,관찰,range,28860.5,37136.0,1,1,고점 상승(Higher High),저점 하락(Lower Low) | 이브닝스타 유사,한화솔루션,KOSPI,65405.0,61278.0,1640691.0,91,009830
012330,2026-08-21,496000.0,59.88,C,61.0,C,58.5,C,18.0,낮음,55.5,낮음,29.04,F,52.17,0.25,관찰,range,456320.0,675840.0,2,1,고점 상승(Higher High) | 저점 상승(Higher Low) | 20일선과 이격이 안정적,,현대모비스,KOSPI,555283.0,552233.0,897399.0,16,012330
402340,2026-08-21,1123000.0,58.38,C,64.0,B,51.5,D,18.0,낮음,57.5,낮음,27.29,F,50.61,0.25,관심 종목 · 타이밍 확인 대기,range,1033160.0,1733600.0,2,0,고점 상승(Higher High) | 저점 상승(Higher Low) | 주요 지지선 근접,20일선 이격 확대,SK스퀘어,KOSPI,2348859.0,2677016.0,1488102.0,3,402340
454910,2026-08-21,70900.0,53.7,C,46.5,D,62.5,B,18.0,낮음,54.0,낮음,38.44,F,49.89,0.25,관찰,range,65228.0,146696.0,2,0,고점 상승(Higher High) | 20일선과 이격이 안정적 | 저점권 긴 아래꼬리,저점 하락(Lower Low),두산로보틱스,KOSPI,65987.0,111338.0,1103887.0,89,454910
000660,2026-08-21,1730000.0,58.38,C,64.0,B,51.5,D,18.0,낮음,60.0,낮음,23.07,F,49.55,0.25,관심 종목 · 타이밍 확인 대기,range,1591600.0,2568720.0,3,0,고점 상승(Higher High) | 저점 상승(Higher Low) | 주요 지지선 근접,20일선 이격 확대,SK하이닉스,KOSPI,19699093.0,19613614.0,7037272.0,2,000660
036570,2026-08-21,224500.0,51.25,D,44.5,D,59.5,C,18.0,낮음,52.5,낮음,43.55,D,49.33,0.25,매수 회피 · 구조 회복 확인,range,206540.0,297440.0,2,2,저점 상승(Higher Low) | 역헤드앤숄더 유사 구조 | 주요 지지선 근접,고점 하락(Lower High),NC,KOSPI,59677.0,67696.0,245818.0,98,036570
307950,2026-08-21,448000.0,50.55,D,46.5,D,55.5,C,18.0,낮음,53.0,낮음,45.15,D,49.2,0.25,관찰,range,412160.0,825440.0,2,1,고점 상승(Higher High) | 주요 지지선 2.5% 이내,저점 하락(Lower Low) | 20일선 이격 확대,현대오토에버,KOSPI,181547.0,134960.0,199677.0,46,307950
005387,2026-08-21,196100.0,55.48,C,53.0,C,58.5,C,18.0,낮음,53.0,낮음,30.31,F,49.19,0.25,관찰,range,180412.0,260040.0,2,0,고점 상승(Higher High) | 저점 상승(Higher Low) | 20일선과 이격이 안정적,,현대차2우B,KOSPI,84263.0,49661.0,206357.0,76,005387
323410,2026-08-21,21300.0,42.05,D,32.5,F,55.5,C,54.0,보통,44.5,낮음,68.3,B,48.61,0.25,매수 회피 · 구조 회복 확인,range,19596.0,21780.0,2,2,저점 상승(Higher Low) | 쌍바닥/W 구조 | 주요 지지선 2.5% 이내,일봉 이동평균선 역배열 | 일봉과 주봉 배열 불일치 | 고점 하락(Lower High),카카오뱅크,KOSPI,105682.0,27709.0,1254108.0,66,323410
042700,2026-08-21,213500.0,57.67,C,57.0,C,58.5,C,18.0,낮음,57.0,낮음,20.73,F,48.43,0.25,관찰,range,193503.25,317680.0,3,1,고점 상승(Higher High) | 저점 상승(Higher Low) | 역헤드앤숄더 유사 구조,,한미반도체,KOSPI,281171.0,1254644.0,4124752.0,31,042700
272210,2026-08-21,70300.0,50.1,D,46.5,D,54.5,C,18.0,낮음,50.0,낮음,42.75,D,48.26,0.25,관찰,range,64676.0,96448.0,1,1,고점 상승(Higher High) | 20일선과 이격이 안정적,저점 하락(Lower Low) | 3연속 음봉,한화시스템,KOSPI,172106.0,105266.0,1163314.0,50,272210
034730,2026-08-21,586000.0,54.6,C,55.5,C,53.5,C,18.0,낮음,53.5,낮음,29.17,F,48.24,0.25,관찰,range,530915.0,755040.0,1,0,저점 상승(Higher Low),고점 하락(Lower High),SK,KOSPI,524920.0,335825.0,461966.0,17,034730
033780,2026-08-21,172300.0,40.78,D,32.0,F,51.5,D,38.0,낮음,50.0,낮음,69.75,B,48.02,0.25,매수 회피 · 구조 회복 확인,range,158516.0,166144.0,2,2,주봉 정배열로 장기 추세 확인 | 쌍바닥/W 구조 | 컵앤핸들 유사 구조,일봉과 주봉 배열 불일치 | 고점 하락(Lower High) | 저점 하락(Lower Low),KT&G,KOSPI,186859.0,55695.0,311038.0,44,033780
000720,2026-08-21,105600.0,51.9,D,46.5,D,58.5,C,18.0,낮음,52.0,낮음,33.51,F,47.3,0.25,관찰,range,84480.0,138600.0,1,0,고점 상승(Higher High) | 20일선과 이격이 안정적,저점 하락(Lower Low),현대건설,KOSPI,143204.0,127748.0,989143.0,57,000720
035720,2026-08-21,35800.0,43.33,D,53.0,C,31.5,F,18.0,낮음,49.0,낮음,58.65,C,47.16,0.25,관찰,range,32899.0,37576.0,2,2,고점 상승(Higher High) | 저점 상승(Higher Low),바로 위 강한 저항 접근 | 20일선 아래 약세 위치 | 하락 거래량 확인(3.55배),카카오,KOSPI,167136.0,77036.0,2016741.0,52,035720
047040,2026-08-21,15930.0,52.45,C,47.5,D,58.5,C,18.0,낮음,52.0,낮음,29.62,F,46.74,0.25,관찰,range,12744.0,24156.0,1,0,고점 상승(Higher High) | 20일선과 이격이 안정적,저점 하락(Lower Low),대우건설,KOSPI,87318.0,205505.0,9347205.0,74,047040
005380,2026-08-21,415000.0,51.9,D,46.5,D,58.5,C,18.0,낮음,52.0,낮음,30.86,F,46.64,0.25,관찰,range,332000.0,660000.0,1,0,고점 상승(Higher High) | 20일선과 이격이 안정적,저점 하락(Lower Low),현대차,KOSPI,1255165.0,1094208.0,1805206.0,6,005380
003670,2026-08-21,154900.0,48.1,D,44.5,D,52.5,C,18.0,낮음,47.5,낮음,38.61,F,45.73,0.25,매수 회피 · 구조 회복 확인,range,142508.0,216040.0,1,2,고점 상승(Higher High) | 20일선과 이격이 안정적,저점 하락(Lower Low) | 쌍봉/더블탑 경계 | 이브닝스타 유사,포스코퓨처엠,KOSPI,177448.0,68914.0,344666.0,48,003670
373220,2026-08-21,343500.0,42.2,D,39.5,F,45.5,D,18.0,낮음,46.5,낮음,55.45,C,45.51,0.25,매수 회피 · 구조 회복 확인,range,306088.75,403040.0,1,3,20일선과 이격이 안정적,저점 하락(Lower Low) | 쌍봉/더블탑 경계 | 바로 위 강한 저항 접근,LG에너지솔루션,KOSPI,946530.0,302829.0,746415.0,8,373220
011790,2026-08-21,83400.0,53.15,C,45.5,D,62.5,B,18.0,낮음,54.0,낮음,22.06,F,45.38,0.25,관찰,range,76728.0,137720.0,2,0,고점 상승(Higher High) | 20일선과 이격이 안정적 | 저점권 긴 아래꼬리,저점 하락(Lower Low),SKC,KOSPI,59320.0,110689.0,913231.0,100,011790
443060,2026-08-21,197700.0,43.62,D,38.0,F,50.5,D,36.0,낮음,39.0,낮음,45.43,D,44.07,0.25,매수 회피 · 구조 회복 확인,range,181884.0,224840.0,1,4,저점 상승(Higher Low) | 주요 지지선 근접 | 20일선과 이격이 안정적,고점 하락(Lower High) | 주요 지지선 이탈 | 헤드앤숄더 유사 구조,HD현대마린솔루션,KOSPI,100875.0,40251.0,176995.0,68,443060
012450,2026-08-21,1085000.0,29.28,F,25.0,F,34.5,F,50.0,보통,36.5,낮음,87.18,A+,43.76,0.25,매수 회피 · 구조 회복 확인,range,947077.5,1094720.0,0,4,,고점 하락(Lower High) | 저점 하락(Lower Low) | 주요 지지선 이탈,한화에어로스페이스,KOSPI,578541.0,512728.0,456012.0,14,012450
267250,2026-08-21,213000.0,45.45,D,40.5,D,51.5,D,18.0,낮음,48.0,낮음,38.14,F,43.62,0.25,매수 회피 · 구조 회복 확인,range,187642.5,251240.0,0,2,고점 상승(Higher High) | 20일선과 이격이 안정적,저점 하락(Lower Low) | 바로 위 강한 저항 접근,HD현대,KOSPI,182079.0,89736.0,387019.0,45,267250
009540,2026-08-21,348500.0,44.55,D,40.5,D,49.5,D,18.0,낮음,51.5,낮음,40.22,D,43.47,0.25,매수 회피 · 구조 회복 확인,range,320620.0,387640.0,1,1,고점 상승(Higher High) | 주요 지지선 근접 | 볼린저 스퀴즈: 방향 확인 대기,저점 하락(Lower Low) | 20일선 아래 약세 위치,HD한국조선해양,KOSPI,296539.0,155733.0,375506.0,29,009540
028050,2026-08-21,45150.0,40.93,D,38.0,F,44.5,D,38.0,낮음,47.0,낮음,51.02,D,43.45,0.25,매수 회피 · 구조 회복 확인,range,37873.25,49896.0,1,2,일봉 이동평균선 정배열 | 쌍바닥/W 구조 | 볼린저 스퀴즈: 방향 확인 대기,일봉과 주봉 배열 불일치 | 고점 하락(Lower High) | 저점 하락(Lower Low),삼성E&A,KOSPI,95354.0,170109.0,3427709.0,71,028050
034020,2026-08-21,73300.0,45.45,D,40.5,D,51.5,D,18.0,낮음,48.0,낮음,36.46,F,43.2,0.25,매수 회피 · 구조 회복 확인,range,67436.0,95480.0,0,2,고점 상승(Higher High) | 20일선과 이격이 안정적,저점 하락(Lower Low) | 바로 위 강한 저항 접근,두산에너빌리티,KOSPI,627109.0,427653.0,4389382.0,12,034020
377300,2026-08-21,42500.0,36.35,F,30.5,F,43.5,D,36.0,낮음,34.5,낮음,63.74,B,43.2,0.25,매수 회피 · 구조 회복 확인,range,39100.0,41712.0,0,5,저점 상승(Higher Low) | 주요 지지선 근접 | 20일선과 이격이 안정적,고점 하락(Lower High) | 주요 지지선 이탈 | 쌍봉/더블탑 경계,카카오페이,KOSPI,59515.0,11790.0,267595.0,99,377300
024110,2026-08-21,20000.0,33.83,F,19.0,F,55.5,C,58.0,보통,40.5,낮음,70.48,B,42.99,0.25,매수 회피 · 구조 회복 확인,range,18400.0,20328.0,1,4,20일선과 이격이 안정적 | 저점권 긴 아래꼬리 | 볼린저 스퀴즈: 방향 확인 대기,일봉 이동평균선 역배열 | 일봉과 주봉 배열 불일치 | 고점 하락(Lower High),기업은행,KOSPI,171048.0,32969.0,1538581.0,51,024110
016360,2026-08-21,92000.0,47.55,D,34.5,F,63.5,B,44.0,보통,47.0,낮음,26.77,F,42.35,0.25,매수 회피 · 구조 회복 확인,range,84640.0,111760.0,2,2,저점 상승(Higher Low) | 주요 지지선 2.5% 이내 | 20일선과 이격이 안정적,일봉 이동평균선 역배열 | 일봉과 주봉 배열 불일치 | 고점 하락(Lower High),삼성증권,KOSPI,106178.0,69943.0,588729.0,65,016360
004170,2026-08-21,400500.0,55.03,C,53.0,C,57.5,C,18.0,낮음,60.5,낮음,3.97,F,42.27,0.25,관찰,range,368460.0,682880.0,5,0,고점 상승(Higher High) | 저점 상승(Higher Low) | 쌍바닥/W 구조,20일선 아래 약세 위치,신세계,KOSPI,67155.0,65498.0,91840.0,88,004170
259960,2026-08-21,222000.0,37.55,F,33.5,F,42.5,D,48.0,보통,45.0,낮음,55.29,C,41.98,0.25,매수 회피 · 구조 회복 확인,range,204240.0,227920.0,2,2,저점 상승(Higher Low) | 쌍바닥/W 구조 | 저점권 긴 아래꼬리,일봉 이동평균선 역배열 | 주봉 역배열 | 쌍봉/더블탑 경계,크래프톤,KOSPI,111421.0,57725.0,243129.0,64,259960
006260,2026-08-21,293500.0,47.75,D,45.5,D,50.5,D,18.0,낮음,48.5,낮음,22.33,F,41.39,0.25,관찰,range,254130.0,447040.0,1,2,저점 상승(Higher Low),쌍봉/더블탑 경계,LS,KOSPI,127920.0,105031.0,250720.0,61,006260
051910,2026-08-21,252500.0,45.0,D,40.5,D,50.5,D,18.0,낮음,49.0,낮음,29.68,F,41.17,0.25,매수 회피 · 구조 회복 확인,range,232300.0,323400.0,0,1,고점 상승(Higher High) | 볼린저 스퀴즈: 방향 확인 대기,저점 하락(Lower Low),LG화학,KOSPI,238602.0,128865.0,382141.0,38,051910
